sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
A partir daí é que vai ser apresentado o relatório.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOL Titular: Jean Wyllys.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliás, sr Presidente, nós temos que exigir que esses fascistas tirem as máscaras.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Há algumas questões que já aparecem e que merecem nossa atenção e até preocupação: recursos com investimentos em implementos e maquinários agrícolas hoje são anunciados na casa de R$ bilhões, parecem ótimos, mas esse montante é destinado ao Programa de Modernização da Frota de Tratores Agrícolas e Implementos Associados e Colheitadeiras - MODERFROTA e ao Programa BNDES de Sustentação do Investimento - BNDES/PSI.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trata-se de uma pesquisa IBOPE escondida pela mídia que revela que muitos brasileiros veem o jornalismo empenhado em aderir ao quanto pior, melhor"".",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apenas % acham que não tem problema o financiamento empresarial de campanha.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Nos últimos  anos o Governo Federal tem promovido uma política de reajuste do salário mínimo para corrigir distorções, perdas históricas, e essa política é a maior responsável pela melhora da vida, da qualidade de vida, e pelo aumento de renda da classe trabalhadora brasileira.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Cumprimento todos os que estão aqui.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu acredito que o assunto de ontem e de hoje não deixa de ser o grande debate que tivemos na Comissão Especial que trata da redução da maioridade penal.,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Veja bem, a entidade gerenciadora do parque desde sua criação, a Fundação Museu do Homem Americano, até , tinha o certificado da OSCIP.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Que triplicou o orçamento federal do setor; ampliou e financiou o acesso ao ensino superior, com o Prouni, o FIES e as cotas, e duplicou para  milhões as matrículas nas universidades?",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
"No nosso Estado, o Rio Grande do Sul, o Governador José Ivo Sartori, juntamente com sua equipe e os Deputados Estaduais da base, está vivendo um momento de extrema dificuldade, pois não consegue sequer pagar os salários dos servidores públicos estaduais.",,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"É o que tenho a dizer, sr Presidente.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então... Posso fazer a emenda de redação: em vez de  anos,  anos.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apesar de alvejado incansavelmente, Lula é o único, autêntico líder popular brasileiro.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Tenho acompanhado o seu brilhante e profícuo trabalho à frente daquela Comissão.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toda a estrada está cercada de água, que está quase chegando às pontes, no Distrito de Jaci-Paraná.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Como seria lindo se os cristãos não se preocupassem em defender a pureza do símbolo, mas conseguissem ir ao encontro da dor ali manifesta, do grito ali colocado para fora.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parabéns a todos!,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fico aqui tranquilo, porque junto comigo nesta Casa nós temos companheiros nordestinos que entendem bem a dor do sertanejo, do povo nordestino.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, peço que a nossa fala seja registrada pelos meios de comunicação da Casa, pelo programa A Voz do Brasil , e peço, com certeza, que esta Casa fique ainda mais atenta à questão do enfrentamento das drogas, para que a gente possa avançar e pensar em um futuro melhor para o nosso Brasil, para os nossos brasileiros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
"Espero que tenhamos bons resultados, porque o caos penitenciário é nacional.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Peço que conclua, nobre Deputado.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As dificuldades da posse deles em º de janeiro é a mesma dos outros governantes.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ao menos, algo consistente e funcional.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esta PEC, votada por V.Exas., irá tolher a sua condição.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como, agora, em dezembro, eu vou destinar parte do dinheiro para comprar , ,  ambulâncias para o Estado do Pará?",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,
"E quem quer conviver com desgraça, com volume morto""?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se a União quiser fazer despesa, que pague a conta!.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Responsável por % da uva de mesa cultivada no Brasil e pela produção de  milhões de litros de vinho por ano, a região vem se destacando como modelo de desenvolvimento para o Nordeste.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Os Governos arrecadam.,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Por semanas, a estratégia do Governo de Alckmin foi negar a existência da greve, negar-se a receber o sindicato, a negociar, negar a ocorrência de problemas na rede estadual paulista e na média salarial de um professor da rede.",,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
"Muito obrigado, sr Presidente, pelo tempo concedido.. Obrigado, sr Presidente, por  segundos.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa alíquota vem desde o tempo da ditadura militar, quando a Previdência no País ainda era unificada, concentrada no INAMPS, em que era descontada nas transferências correntes do Governo Federal para Estados e Municípios uma parcela referente ao PIS/PASEP.",,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Hoje temos quatro deputados na Assembleia Legislativa.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A votação precedeu a discussão.,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Por outro lado, vai privilegiar figuras como o Deputado Rodrigo Maia, Relator desse projeto de lei na Câmara e que obteve apenas % dos votos na última eleição para Prefeito do Rio de Janeiro.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Nós tratamos de limite de gastos, nós tratamos de acabar com aquelas campanhas milionárias.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Suas propostas de lei são bem fundamentadas e guiadas pelo diálogo com a população.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igrejas não pagam impostos neste País.,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Então, a gente pune o adolescente, mas o cara está solto, traficando armas, cometendo uma série de ações criminosas.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Peço que o meu pronunciamento seja divulgado pelos meios de comunicação da Casa e pelo programa A Voz do Brasil.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu entendo - a proposta, originalmente, não é minha, eu apenas a apresentei - que o voto impresso ao lado da urna eletrônica é a maneira que nós temos de auditar.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"A Proposta de Emenda à Constituição nº , de , que acaba com a cobrança de contribuição previdenciária dos inativos, também estará inviabilizada, pois trata de questões referentes a funcionários públicos estaduais e municipais.",,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
"Essa suplementação muitas vezes é feita pelo Município que tem dificuldades para obter os recursos, a fim de garantir um programa fundamental para a escola pública brasileira.",,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,
"Então, não adianta ficar atacando.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumprimento então os evangélicos, os católicos, os de outras religiões e os ateus também que não querem ver sua família exposta a essa baixaria pública patrocinada pelo Governo do PT.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Algumas delas, bastante radicais.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agora o Papa Francisco volta a inovar , mostrando que veio para fazer a Igreja Católica Apostólica Romana refletir e agir sobre seus próprios pecados.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E eu queria pontuar esse avanço: diz respeito aos direitos das mulheres.,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
O relatório destaca que mais de um quarto dos ativistas ambientais e agrários assassinados em  no mundo foram executados no Brasil.,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Segundo a matéria, a dívida do Governo Jatene em termos de atraso nos repasses aos Municípios já alcança a casa de R$ milhões, um verdadeiro escândalo!",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Do total verificado no mundo no ano de , mais de um quarto -  - dos homicídios de ativistas ambientais e agrários foram cometidos no Brasil.",,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
A marisqueira sobrevive daquilo que vende.,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É a minha posição: se for para haver obstrução amanhã, eu prefiro votar hoje.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
E esteve com a nossa bancada discutindo.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As consequências na qualidade do ensino são terríveis.,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Só se alcança a igualdade de raça erradicando e combatendo fortemente o racismo.,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Há  anos não havia conscientização sobre o quão feio era discriminar alguém.,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Dieta rica em fibras, frutas e vegetais frescos parecem ter efeito protetor sobre a doença enquanto que o consumo de gordura animal e de álcool são fatores de riscos desconhecidos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
"Ontem, eu tive uma reunião com as três instituições nacionais de prefeitos, para irmos ao Presidente Michel Temer, que está no exercício da Presidência da República.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Há acordo, então?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Assembleia Legislativa do Estado de Rio de Janeiro e seu entorno viraram uma praça de guerra, por vários dias, por várias semanas.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acidentes de trânsito, furtos e roubos mais que duplicaram nesse período.",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,
É essa a saída que nós estamos buscando.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu faço parte da Oposição e não sou golpista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
Ouço o Deputado Mauro Pereira.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele fala dos resultados que não são publicados pela mídia, mas com posição diferente.",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parabéns!,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vamos esclarecer aqui: nós temos dois problemas para resolver.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obrigado, Deputado.. sr Presidente, sr e sr Deputados, está havendo um grande movimento das polícias militares pelo País afora, com audiências públicas, pelo Ciclo Completo.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diz ele que há três pontos de partida para promover uma evolução.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A data instituída pela Assembleia Legislativa de Minas Gerais, em , a pedido da FAEMG -Federação da Agricultura e Pecuária do Estado de Minas Gerais, homenageia aqueles que garantem a alimentação e o desenvolvimento econômico do nosso Estado e do Brasil.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Ele diz respeito, principalmente, a essa parte grande e necessitada da população brasileira.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A emenda é primeiro dia útil.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O gasto médio diário do turista que veio de avião foi de R$ ,.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
"Infelizmente, no gasto, não existe essa mesma eficiência.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Segurança Pública é outra prioridade do programa lançado pelo Governador Pedro Taques.,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Governo usufruiu, por  anos e meio, os benefícios do Plano Real e da estabilidade e não completou o ciclo das reformas.",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Pelo fator /!,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recente estudo divulgado pelo conceituado Instituto Socioambiental - ISA revela de forma inquestionável que se o Governo Federal conceder essa licença estará agindo ao arrepio da lei e pisoteando direitos inalienáveis dos povos do Xingu.,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Nesta reportagem, ele frisou os altos salários do Executivo, do Judiciário e dos Estados.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eles não querem que essa portaria entre em vigor, o que é um abuso, o que é um absurdo.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muitas dessas matérias sequer mexem imediatamente no Orçamento Geral da União, mas essas matérias precisam ser discutidas, debatidas e votadas ainda este ano, para que elas possam ter vigência já a partir do ano que vem.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Quero parabenizar o Governo Federal e o ex-Presidente da EMATER, Lino de David.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
A situação é preocupante e exige providências imediatas.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por que ela não é feita para uma legislatura seguinte, para que nós afastemos dessa circunstância aqueles que estão em disputa real da política?",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"sr Presidente, não custa lembrar que a operadora Oi se fundiu com uma operadora internacional, a Portugal TELECOM, e está recebendo as benesses do Governo.",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De um lado, a anunciada escassez dos combustíveis fósseis e seus preços elevadíssimos que desorganizam a economia mundial; de outro, o aquecimento global por conta do efeito estufa que aquece o planeta e gera catástrofes, matando milhões mundo afora.",,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,
"O Supremo tem que explicar isso à sociedade, apesar de essa decisão ter sido importante para o povo brasileiro.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigado, sr Presidente.. sr Presidente, sr e sr Deputados, já pedi que fosse dado como lido e agora peço que seja divulgado no programa A Voz do Brasil essa campanha chamada Setembro Verde, que visa à prevenção ao câncer de intestino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
"sr Deputadas e sr Deputados, meus nobres colegas, com esse recorte tristíssimo da realidade feminina no Brasil, eu quis aqui deixar uma homenagem a todas as mulheres, em especial, às mulheres vítimas, às mulheres que sucumbiram e às mulheres que sobreviveram por alguma proteção do destino.",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Para quem me pergunta se eu sou contra ou a favor da redução da maioridade penal, eu digo que sim"" ou não"" é uma resposta muito simplista para esse grave problema que o País enfrenta.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"Ela foi aprovada na Comissão Especial, foi aprovada na Câmara dos Deputados, foi aprovada no Senado Federal à unanimidade, e a Presidente vetou esse artigo que prevê remuneração e novo quadro de servidores na SUFRAMA.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu quero dizer que o PSDB, do candidato Aécio Neves, recebeu  milhão e  mil a mais da UTC do que a nossa candidata, a Presidenta Dilma Rousseff.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Ademais, é o principal Estado em reflorestamento no País.",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Por isso, nós vamos resistir, na defesa do BNDES, na defesa da TJLP e na defesa da indústria nacional.. sr Presidente, eu quero registrar aqui o meu apoio absoluto aos lotéricos de todo o Brasil.",,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Essa é uma manobra da Presidenta Dilma Rousseff.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamento profundamente.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mas não é isso, sr Presidente.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aqui sempre integrei a Frente Parlamentar de Apoio ao Cooperativismo Paulista - FRENCOOP, ao nível da Assembleia de São Paulo, e coordenei também essa Frente Parlamentar.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A morte do cinegrafista Santiago Andrade, no pleno exercício de sua profissão, não foi, todavia, o pior momento, nem foi à primeira morte estúpida e revoltante.",,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Exas.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ela é o problema.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não só o Estado de Rondônia está prejudicado, como também o vizinho Estado do Acre, com essa situação.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Temos a perspectiva de crescimento de % de exportação da carne bovina nos próximos  anos, mas essa cadeia de crimes pode desestimular a atividade da pecuária.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
Essa fila aqui está meio furada.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
